LOCATION,Country,SUBJECT,TIME,Value
AUT,Austria,TOT,1999,4.975
AUT,Austria,TOT,2000,5.15
AUT,Austria,TOT,2001,5.7
AUT,Austria,TOT,2002,6.175
AUT,Austria,TOT,2003,7.05
AUT,Austria,TOT,2004,10.5
AUT,Austria,TOT,2005,10.975
AUT,Austria,TOT,2006,9.8
AUT,Austria,TOT,2007,9.375
AUT,Austria,TOT,2008,8.475
AUT,Austria,TOT,2009,10.65
AUT,Austria,TOT,2010,9.475
AUT,Austria,TOT,2011,8.95
AUT,Austria,TOT,2012,9.4
AUT,Austria,TOT,2013,9.675
AUT,Austria,TOT,2014,10.275
AUT,Austria,TOT,2015,10.575
AUT,Austria,TOT,2016,11.2
AUT,Austria,TOT,2017,9.8
BEL,Belgium,TOT,1999,21.025
BEL,Belgium,TOT,2000,17.425
BEL,Belgium,TOT,2001,16.875
BEL,Belgium,TOT,2002,17.7
BEL,Belgium,TOT,2003,21.725
BEL,Belgium,TOT,2004,21.1
BEL,Belgium,TOT,2005,21.475
BEL,Belgium,TOT,2006,20.475
BEL,Belgium,TOT,2007,18.875
BEL,Belgium,TOT,2008,17.825
BEL,Belgium,TOT,2009,21.9
BEL,Belgium,TOT,2010,22.4
BEL,Belgium,TOT,2011,18.675
BEL,Belgium,TOT,2012,19.675
BEL,Belgium,TOT,2013,23.675
BEL,Belgium,TOT,2014,23.3
BEL,Belgium,TOT,2015,22.1
BEL,Belgium,TOT,2016,20.125
BEL,Belgium,TOT,2017,19.3
FIN,Finland,TOT,1998,23.8
FIN,Finland,TOT,1999,21.15
FIN,Finland,TOT,2000,21.125
FIN,Finland,TOT,2001,19.425
FIN,Finland,TOT,2002,20.675
FIN,Finland,TOT,2003,21.425
FIN,Finland,TOT,2004,20.4
FIN,Finland,TOT,2005,19.775
FIN,Finland,TOT,2006,18.425
FIN,Finland,TOT,2007,16.45
FIN,Finland,TOT,2008,16.175
FIN,Finland,TOT,2009,21
FIN,Finland,TOT,2010,21.125
FIN,Finland,TOT,2011,19.75
FIN,Finland,TOT,2012,18.775
FIN,Finland,TOT,2013,19.55
FIN,Finland,TOT,2014,20.35
FIN,Finland,TOT,2015,22.025
FIN,Finland,TOT,2016,19.875
FIN,Finland,TOT,2017,19.8
FRA,France,TOT,2003,18.175
FRA,France,TOT,2004,19.725
FRA,France,TOT,2005,20.275
FRA,France,TOT,2006,21.35
FRA,France,TOT,2007,18.85
FRA,France,TOT,2008,18.3
FRA,France,TOT,2009,22.975
FRA,France,TOT,2010,22.575
FRA,France,TOT,2011,21.975
FRA,France,TOT,2012,23.625
FRA,France,TOT,2013,24.05
FRA,France,TOT,2014,24.225
FRA,France,TOT,2015,24.675
FRA,France,TOT,2016,24.45
FRA,France,TOT,2017,22.125
DEU,Germany,TOT,2005,15.55
DEU,Germany,TOT,2006,13.75
DEU,Germany,TOT,2007,11.925
DEU,Germany,TOT,2008,10.575
DEU,Germany,TOT,2009,11.25
DEU,Germany,TOT,2010,9.825
DEU,Germany,TOT,2011,8.525
DEU,Germany,TOT,2012,8.05
DEU,Germany,TOT,2013,7.8
DEU,Germany,TOT,2014,7.75
DEU,Germany,TOT,2015,7.25
DEU,Germany,TOT,2016,7.05
DEU,Germany,TOT,2017,6.775
GRC,Greece,TOT,1998,30.525
GRC,Greece,TOT,1999,31.6
GRC,Greece,TOT,2000,29.2
GRC,Greece,TOT,2001,28.05
GRC,Greece,TOT,2002,26.55
GRC,Greece,TOT,2003,26.65
GRC,Greece,TOT,2004,26.5
GRC,Greece,TOT,2005,25.775
GRC,Greece,TOT,2006,24.975
GRC,Greece,TOT,2007,22.675
GRC,Greece,TOT,2008,21.875
GRC,Greece,TOT,2009,25.725
GRC,Greece,TOT,2010,33
GRC,Greece,TOT,2011,44.7
GRC,Greece,TOT,2012,55.3
GRC,Greece,TOT,2013,58.25
GRC,Greece,TOT,2014,52.425
GRC,Greece,TOT,2015,49.8
GRC,Greece,TOT,2016,47.35
GRC,Greece,TOT,2017,43.575
IRL,Ireland,TOT,2000,6.9
IRL,Ireland,TOT,2001,7.075
IRL,Ireland,TOT,2002,8.425
IRL,Ireland,TOT,2003,9.1
IRL,Ireland,TOT,2004,8.9
IRL,Ireland,TOT,2005,8.525
IRL,Ireland,TOT,2006,8.55
IRL,Ireland,TOT,2007,9.15
IRL,Ireland,TOT,2008,13.475
IRL,Ireland,TOT,2009,24.525
IRL,Ireland,TOT,2010,28.175
IRL,Ireland,TOT,2011,29.575
IRL,Ireland,TOT,2012,30.75
IRL,Ireland,TOT,2013,26.7
IRL,Ireland,TOT,2014,23.425
IRL,Ireland,TOT,2015,20.225
IRL,Ireland,TOT,2016,16.75
IRL,Ireland,TOT,2017,14.35
ITA,Italy,TOT,1998,33.85
ITA,Italy,TOT,1999,32.85
ITA,Italy,TOT,2000,31.15
ITA,Italy,TOT,2001,28.2
ITA,Italy,TOT,2002,27.225
ITA,Italy,TOT,2003,27.075
ITA,Italy,TOT,2004,23.5
ITA,Italy,TOT,2005,24.1
ITA,Italy,TOT,2006,21.75
ITA,Italy,TOT,2007,20.375
ITA,Italy,TOT,2008,21.225
ITA,Italy,TOT,2009,25.325
ITA,Italy,TOT,2010,27.875
ITA,Italy,TOT,2011,29.075
ITA,Italy,TOT,2012,35.3
ITA,Italy,TOT,2013,40
ITA,Italy,TOT,2014,42.675
ITA,Italy,TOT,2015,40.325
ITA,Italy,TOT,2016,37.75
ITA,Italy,TOT,2017,34.75
LUX,Luxembourg,TOT,2003,10.9
LUX,Luxembourg,TOT,2004,16.9
LUX,Luxembourg,TOT,2005,13.7
LUX,Luxembourg,TOT,2006,16.2
LUX,Luxembourg,TOT,2007,15.125
LUX,Luxembourg,TOT,2008,17.95
LUX,Luxembourg,TOT,2009,17.55
LUX,Luxembourg,TOT,2010,14.325
LUX,Luxembourg,TOT,2011,16.925
LUX,Luxembourg,TOT,2012,18.575
LUX,Luxembourg,TOT,2013,15.8
LUX,Luxembourg,TOT,2014,22.65
LUX,Luxembourg,TOT,2015,17.325
LUX,Luxembourg,TOT,2016,18.675
LUX,Luxembourg,TOT,2017,15.425
NLD,Netherlands,TOT,2000,5.775
NLD,Netherlands,TOT,2001,4.6
NLD,Netherlands,TOT,2002,5
NLD,Netherlands,TOT,2003,6.3
NLD,Netherlands,TOT,2004,7.95
NLD,Netherlands,TOT,2005,11.85
NLD,Netherlands,TOT,2006,10.025
NLD,Netherlands,TOT,2007,9.375
NLD,Netherlands,TOT,2008,8.6
NLD,Netherlands,TOT,2009,10.2
NLD,Netherlands,TOT,2010,11.05
NLD,Netherlands,TOT,2011,10
NLD,Netherlands,TOT,2012,11.725
NLD,Netherlands,TOT,2013,13.2
NLD,Netherlands,TOT,2014,12.75
NLD,Netherlands,TOT,2015,11.25
NLD,Netherlands,TOT,2016,10.825
NLD,Netherlands,TOT,2017,8.85
PRT,Portugal,TOT,1998,10.7
PRT,Portugal,TOT,1999,9.15
PRT,Portugal,TOT,2000,8.875
PRT,Portugal,TOT,2001,9.425
PRT,Portugal,TOT,2002,11.675
PRT,Portugal,TOT,2003,14.575
PRT,Portugal,TOT,2004,15.45
PRT,Portugal,TOT,2005,16.225
PRT,Portugal,TOT,2006,16.525
PRT,Portugal,TOT,2007,16.7
PRT,Portugal,TOT,2008,16.675
PRT,Portugal,TOT,2009,20.325
PRT,Portugal,TOT,2010,22.75
PRT,Portugal,TOT,2011,30.225
PRT,Portugal,TOT,2012,37.925
PRT,Portugal,TOT,2013,38.1
PRT,Portugal,TOT,2014,34.825
PRT,Portugal,TOT,2015,31.95
PRT,Portugal,TOT,2016,27.925
PRT,Portugal,TOT,2017,23.875
SVK,Slovak Republic,TOT,1999,33.825
SVK,Slovak Republic,TOT,2000,36.95
SVK,Slovak Republic,TOT,2001,39.175
SVK,Slovak Republic,TOT,2002,37.675
SVK,Slovak Republic,TOT,2003,33.4
SVK,Slovak Republic,TOT,2004,33.075
SVK,Slovak Republic,TOT,2005,30.05
SVK,Slovak Republic,TOT,2006,26.65
SVK,Slovak Republic,TOT,2007,20.325
SVK,Slovak Republic,TOT,2008,19.025
SVK,Slovak Republic,TOT,2009,27.175
SVK,Slovak Republic,TOT,2010,33.5
SVK,Slovak Republic,TOT,2011,33.425
SVK,Slovak Republic,TOT,2012,33.975
SVK,Slovak Republic,TOT,2013,33.675
SVK,Slovak Republic,TOT,2014,29.7
SVK,Slovak Republic,TOT,2015,26.45
SVK,Slovak Republic,TOT,2016,22.225
SVK,Slovak Republic,TOT,2017,18.9
ESP,Spain,TOT,1999,29.375
ESP,Spain,TOT,2000,26
ESP,Spain,TOT,2001,21.075
ESP,Spain,TOT,2002,22.2
ESP,Spain,TOT,2003,22.7
ESP,Spain,TOT,2004,22
ESP,Spain,TOT,2005,19.65
ESP,Spain,TOT,2006,17.9
ESP,Spain,TOT,2007,18.1
ESP,Spain,TOT,2008,24.475
ESP,Spain,TOT,2009,37.75
ESP,Spain,TOT,2010,41.5
ESP,Spain,TOT,2011,46.225
ESP,Spain,TOT,2012,52.875
ESP,Spain,TOT,2013,55.475
ESP,Spain,TOT,2014,53.2
ESP,Spain,TOT,2015,48.35
ESP,Spain,TOT,2016,44.45
ESP,Spain,TOT,2017,38.675
EST,Estonia,TOT,2000,23.875
EST,Estonia,TOT,2001,22.275
EST,Estonia,TOT,2002,17.85
EST,Estonia,TOT,2003,20.7
EST,Estonia,TOT,2004,23.8
EST,Estonia,TOT,2005,15.025
EST,Estonia,TOT,2006,12.15
EST,Estonia,TOT,2008,11.75
EST,Estonia,TOT,2009,27.4
EST,Estonia,TOT,2010,32.8
EST,Estonia,TOT,2011,22.375
EST,Estonia,TOT,2012,20.8
EST,Estonia,TOT,2013,18.75
EST,Estonia,TOT,2014,14.975
EST,Estonia,TOT,2015,13.2
EST,Estonia,TOT,2016,13.475
EST,Estonia,TOT,2017,12.15
SVN,Slovenia,TOT,1999,17.65
SVN,Slovenia,TOT,2000,16.425
SVN,Slovenia,TOT,2001,17.825
SVN,Slovenia,TOT,2002,16.525
SVN,Slovenia,TOT,2003,17.325
SVN,Slovenia,TOT,2004,16.125
SVN,Slovenia,TOT,2005,15.875
SVN,Slovenia,TOT,2006,13.925
SVN,Slovenia,TOT,2007,10.15
SVN,Slovenia,TOT,2008,10.525
SVN,Slovenia,TOT,2009,13.65
SVN,Slovenia,TOT,2010,14.7
SVN,Slovenia,TOT,2011,15.75
SVN,Slovenia,TOT,2012,20.525
SVN,Slovenia,TOT,2013,21.65
SVN,Slovenia,TOT,2014,20.3
SVN,Slovenia,TOT,2015,16.425
SVN,Slovenia,TOT,2016,15.275
SVN,Slovenia,TOT,2017,11.275
AUT,Austria,MEN,1999,4.575
AUT,Austria,MEN,2000,5
AUT,Austria,MEN,2001,5.8
AUT,Austria,MEN,2002,6.5
AUT,Austria,MEN,2003,7.475
AUT,Austria,MEN,2004,10.275
AUT,Austria,MEN,2005,11.575
AUT,Austria,MEN,2006,9.825
AUT,Austria,MEN,2007,9.2
AUT,Austria,MEN,2008,8.425
AUT,Austria,MEN,2009,11.175
AUT,Austria,MEN,2010,9.6
AUT,Austria,MEN,2011,8.825
AUT,Austria,MEN,2012,9.525
AUT,Austria,MEN,2013,9.375
AUT,Austria,MEN,2014,10.575
AUT,Austria,MEN,2015,11.1
AUT,Austria,MEN,2016,12.125
AUT,Austria,MEN,2017,10.775
AUT,Austria,WOMEN,1999,5.45
AUT,Austria,WOMEN,2000,5.3
AUT,Austria,WOMEN,2001,5.55
AUT,Austria,WOMEN,2002,5.8
AUT,Austria,WOMEN,2003,6.475
AUT,Austria,WOMEN,2004,10.75
AUT,Austria,WOMEN,2005,10.3
AUT,Austria,WOMEN,2006,9.725
AUT,Austria,WOMEN,2007,9.6
AUT,Austria,WOMEN,2008,8.575
AUT,Austria,WOMEN,2009,10.05
AUT,Austria,WOMEN,2010,9.35
AUT,Austria,WOMEN,2011,9.125
AUT,Austria,WOMEN,2012,9.225
AUT,Austria,WOMEN,2013,9.975
AUT,Austria,WOMEN,2014,9.95
AUT,Austria,WOMEN,2015,9.975
AUT,Austria,WOMEN,2016,10.175
AUT,Austria,WOMEN,2017,8.725
BEL,Belgium,MEN,1999,18.85
BEL,Belgium,MEN,2000,15.2
BEL,Belgium,MEN,2001,16.175
BEL,Belgium,MEN,2002,17.2
BEL,Belgium,MEN,2003,22.15
BEL,Belgium,MEN,2004,20.05
BEL,Belgium,MEN,2005,20.975
BEL,Belgium,MEN,2006,18.75
BEL,Belgium,MEN,2007,17.075
BEL,Belgium,MEN,2008,17.275
BEL,Belgium,MEN,2009,21.425
BEL,Belgium,MEN,2010,22.45
BEL,Belgium,MEN,2011,18.675
BEL,Belgium,MEN,2012,20.4
BEL,Belgium,MEN,2013,24.725
BEL,Belgium,MEN,2014,23.975
BEL,Belgium,MEN,2015,23.8
BEL,Belgium,MEN,2016,21.725
BEL,Belgium,MEN,2017,20.2
BEL,Belgium,WOMEN,1999,23.625
BEL,Belgium,WOMEN,2000,20.175
BEL,Belgium,WOMEN,2001,17.825
BEL,Belgium,WOMEN,2002,18.275
BEL,Belgium,WOMEN,2003,21.2
BEL,Belgium,WOMEN,2004,22.4
BEL,Belgium,WOMEN,2005,22.075
BEL,Belgium,WOMEN,2006,22.35
BEL,Belgium,WOMEN,2007,20.9
BEL,Belgium,WOMEN,2008,18.5
BEL,Belgium,WOMEN,2009,22.45
BEL,Belgium,WOMEN,2010,22.3
BEL,Belgium,WOMEN,2011,18.7
BEL,Belgium,WOMEN,2012,18.75
BEL,Belgium,WOMEN,2013,22.425
BEL,Belgium,WOMEN,2014,22.425
BEL,Belgium,WOMEN,2015,19.975
BEL,Belgium,WOMEN,2016,18.125
BEL,Belgium,WOMEN,2017,18.175
FIN,Finland,MEN,1998,22.975
FIN,Finland,MEN,1999,20.6
FIN,Finland,MEN,2000,20.975
FIN,Finland,MEN,2001,19.325
FIN,Finland,MEN,2002,20.825
FIN,Finland,MEN,2003,21.7
FIN,Finland,MEN,2004,21.875
FIN,Finland,MEN,2005,20.325
FIN,Finland,MEN,2006,18.775
FIN,Finland,MEN,2007,16.4
FIN,Finland,MEN,2008,16.8
FIN,Finland,MEN,2009,23.6
FIN,Finland,MEN,2010,23.525
FIN,Finland,MEN,2011,21.4
FIN,Finland,MEN,2012,19.775
FIN,Finland,MEN,2013,22.575
FIN,Finland,MEN,2014,22.6
FIN,Finland,MEN,2015,24.775
FIN,Finland,MEN,2016,21.5
FIN,Finland,MEN,2017,20.6
FIN,Finland,WOMEN,1998,24.775
FIN,Finland,WOMEN,1999,21.675
FIN,Finland,WOMEN,2000,21.275
FIN,Finland,WOMEN,2001,19.5
FIN,Finland,WOMEN,2002,20.525
FIN,Finland,WOMEN,2003,21.2
FIN,Finland,WOMEN,2004,18.9
FIN,Finland,WOMEN,2005,19.225
FIN,Finland,WOMEN,2006,18.125
FIN,Finland,WOMEN,2007,16.475
FIN,Finland,WOMEN,2008,15.525
FIN,Finland,WOMEN,2009,18.5
FIN,Finland,WOMEN,2010,18.7
FIN,Finland,WOMEN,2011,18.15
FIN,Finland,WOMEN,2012,17.825
FIN,Finland,WOMEN,2013,16.725
FIN,Finland,WOMEN,2014,18.15
FIN,Finland,WOMEN,2015,19.425
FIN,Finland,WOMEN,2016,18.275
FIN,Finland,WOMEN,2017,18.975
FRA,France,MEN,2003,17.8
FRA,France,MEN,2004,19.2
FRA,France,MEN,2005,19.45
FRA,France,MEN,2006,20.425
FRA,France,MEN,2007,18.325
FRA,France,MEN,2008,18.525
FRA,France,MEN,2009,24.05
FRA,France,MEN,2010,22.175
FRA,France,MEN,2011,21.375
FRA,France,MEN,2012,24.05
FRA,France,MEN,2013,23.8
FRA,France,MEN,2014,25.15
FRA,France,MEN,2015,25.775
FRA,France,MEN,2016,24.9
FRA,France,MEN,2017,22.95
FRA,France,WOMEN,2003,18.6
FRA,France,WOMEN,2004,20.35
FRA,France,WOMEN,2005,21.25
FRA,France,WOMEN,2006,22.5
FRA,France,WOMEN,2007,19.5
FRA,France,WOMEN,2008,18.075
FRA,France,WOMEN,2009,21.675
FRA,France,WOMEN,2010,23.05
FRA,France,WOMEN,2011,22.65
FRA,France,WOMEN,2012,23.125
FRA,France,WOMEN,2013,24.375
FRA,France,WOMEN,2014,23.125
FRA,France,WOMEN,2015,23.375
